,Country_1,Country_2,Song,Difference_in_Days
0,UK,UK,!!! - Hello Is This Thing On?,0
1,USA,USA,'N Sync & Gloria Estefan - Music Of My Heart,0
2,USA,Australia,*NSync - Pop,-23
3,USA,Brazil,*NSync - Pop,-63
4,USA,Canada,*NSync - Pop,-5
5,USA,Greece,*NSync - Pop,-30
6,USA,Japan,*NSync - Pop,-42
7,USA,Netherlands,*NSync - Pop,-16
8,USA,New Zealand,*NSync - Pop,-29
9,USA,Norway,*NSync - Pop,-16
10,USA,Spain,*NSync - Pop,-9
11,USA,Sweden,*NSync - Pop,-19
12,USA,Switzerland,*NSync - Pop,-22
13,USA,USA,*NSync - Pop,0
14,USA,USA,"10,000 Maniacs - More Than This",0
15,UK,Spain,100 Percent - Just Can't Wait,-62
16,UK,UK,100 Percent - Just Can't Wait,0
17,USA,USA,112 & Mase - Love Me,0
18,USA,USA,112 - Cupid,0
19,USA,Australia,112 - Dance With Me,-142
20,USA,Belgium,112 - Dance With Me,-210
21,USA,USA,112 - Dance With Me,0
22,USA,USA,112 - It's Over Now,0
23,USA,Australia,112 - Peaches & Cream,-338
24,USA,USA,112 - Peaches & Cream,0
25,UK,UK,1975 - About You,0
26,UK,Ireland,1975 - Chocolate,-53
27,UK,UK,1975 - Chocolate,0
28,UK,UK,1975 - Give Yourself A Try,0
29,UK,UK,1975 - I'm In Love With You,0
30,UK,Ireland,1975 - If You're Too Shy (Let Me Know),0
31,UK,Taiwan,1975 - If You're Too Shy (Let Me Know),-57
32,UK,UK,1975 - If You're Too Shy (Let Me Know),0
33,UK,UK,1975 - Love It If We Made It,0
34,UK,Australia,1975 - Love Me,1
35,UK,UK,1975 - Love Me,0
36,UK,UK,1975 - Me & You Together Song,0
37,UK,UK,1975 - Oh Caroline,0
38,UK,UK,1975 - Sex,0
39,UK,UK,1975 - TOOTIMETOOTIMETOOTIME,0
40,UK,UK,1975 - The City,0
41,UK,Taiwan,1975 - The Sound,-63
42,UK,UK,1975 - The Sound,0
43,USA,USA,2 Chainz & Drake - No Lie,0
44,USA,Australia,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-2
45,USA,Austria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),8
46,USA,Belgium,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-20
47,USA,Bulgaria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),6
48,USA,Canada,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),3
49,USA,Denmark,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),8
50,USA,France,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),13
51,USA,Germany,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),7
52,USA,Italy,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),13
53,USA,New Zealand,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),5
54,USA,Norway,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-4
55,USA,Sweden,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-41
56,USA,Switzerland,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),6
57,USA,Taiwan,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),0
58,USA,UK,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),21
59,USA,USA,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),0
60,UK,Australia,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-23
61,UK,Austria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-13
62,UK,Belgium,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-41
63,UK,Bulgaria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-15
64,UK,Canada,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-18
65,UK,Denmark,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-13
66,UK,France,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-8
67,UK,Germany,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-14
68,UK,Italy,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-8
69,UK,New Zealand,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-16
70,UK,Norway,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-25
71,UK,Sweden,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-62
72,UK,Switzerland,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-15
73,UK,Taiwan,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-21
74,UK,UK,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),0
75,UK,USA,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-21
76,USA,USA,2 Chainz - I'm Different,0
77,USA,USA,2 Pac Feat. Eric Williams - Do For Love,0
78,USA,USA,2 Pistols - She Got It,0
79,UK,UK,2 Play - Careless Whisper,0
80,UK,UK,2 Play - It Can't Be Right,0
81,UK,UK,2 Play - So Confused,0
82,USA,USA,21 Savage & Metro Boomin - Glock In My Lap,0
83,USA,USA,21 Savage & Metro Boomin - Many Men,0
84,USA,USA,21 Savage & Metro Boomin - No Heart,0
85,USA,Canada,21 Savage & Metro Boomin - Runnin,7
86,USA,UK,21 Savage & Metro Boomin - Runnin,14
87,USA,USA,21 Savage & Metro Boomin - Runnin,0
88,UK,Canada,21 Savage & Metro Boomin - Runnin,-7
89,UK,UK,21 Savage & Metro Boomin - Runnin,0
90,UK,USA,21 Savage & Metro Boomin - Runnin,-14
91,USA,USA,21 Savage & Metro Boomin - Slidin,0
92,USA,UK,21 Savage - A Lot,0
93,USA,USA,21 Savage - A Lot,0
94,UK,UK,21 Savage - A Lot,0
95,UK,USA,21 Savage - A Lot,0
96,USA,Canada,21 Savage - Bank Account,91
97,USA,UK,21 Savage - Bank Account,35
98,USA,USA,21 Savage - Bank Account,0
99,UK,Canada,21 Savage - Bank Account,56
100,UK,UK,21 Savage - Bank Account,0
101,UK,USA,21 Savage - Bank Account,-35
102,USA,USA,21 Savage - X,0
103,USA,USA,"21 Savage, Boomin & Drake - Mr. Right Now",0
104,UK,Canada,"21 Savage, Metro Boomin & Drake - Mr Right Now",28
105,UK,UK,"21 Savage, Metro Boomin & Drake - Mr Right Now",0
106,USA,USA,"21 Savage, Metro Boomin & Young Thug - Rich N*gga Sh*t",0
107,USA,Canada,"21 Savage, Offset & Metro Boomin, Travis Scott - Ghostface Killers",0
108,USA,USA,"21 Savage, Offset & Metro Boomin, Travis Scott - Ghostface Killers",0
109,UK,Ireland,220 Kid & Gracey - Don't Need Love,-70
110,UK,UK,220 Kid & Gracey - Don't Need Love,0
111,UK,UK,24KGOLDN - City Of Angels,0
112,USA,Australia,24kGoldn & Iann Dior - Mood,19
113,USA,Austria,24kGoldn & Iann Dior - Mood,43
114,USA,Belgium,24kGoldn & Iann Dior - Mood,35
115,USA,Bulgaria,24kGoldn & Iann Dior - Mood,-43
116,USA,Canada,24kGoldn & Iann Dior - Mood,28
117,USA,China,24kGoldn & Iann Dior - Mood,14
118,USA,Denmark,24kGoldn & Iann Dior - Mood,43
119,USA,Finland,24kGoldn & Iann Dior - Mood,54
120,USA,France,24kGoldn & Iann Dior - Mood,-21
121,USA,Germany,24kGoldn & Iann Dior - Mood,35
122,USA,Greece,24kGoldn & Iann Dior - Mood,-114
123,USA,Ireland,24kGoldn & Iann Dior - Mood,35
124,USA,Italy,24kGoldn & Iann Dior - Mood,-19
125,USA,Japan,24kGoldn & Iann Dior - Mood,14
126,USA,Netherlands,24kGoldn & Iann Dior - Mood,42
127,USA,New Zealand,24kGoldn & Iann Dior - Mood,19
128,USA,Norway,24kGoldn & Iann Dior - Mood,60
129,USA,Portugal,24kGoldn & Iann Dior - Mood,6
130,USA,Spain,24kGoldn & Iann Dior - Mood,-14
131,USA,Sweden,24kGoldn & Iann Dior - Mood,54
132,USA,Switzerland,24kGoldn & Iann Dior - Mood,27
133,USA,UK,24kGoldn & Iann Dior - Mood,28
134,USA,USA,24kGoldn & Iann Dior - Mood,0
135,UK,Australia,24kGoldn & Iann Dior - Mood,-9
136,UK,Austria,24kGoldn & Iann Dior - Mood,15
137,UK,Belgium,24kGoldn & Iann Dior - Mood,7
138,UK,Bulgaria,24kGoldn & Iann Dior - Mood,-71
139,UK,Canada,24kGoldn & Iann Dior - Mood,0
140,UK,China,24kGoldn & Iann Dior - Mood,-14
141,UK,Denmark,24kGoldn & Iann Dior - Mood,15
142,UK,Finland,24kGoldn & Iann Dior - Mood,26
143,UK,France,24kGoldn & Iann Dior - Mood,-49
144,UK,Germany,24kGoldn & Iann Dior - Mood,7
145,UK,Greece,24kGoldn & Iann Dior - Mood,-142
146,UK,Ireland,24kGoldn & Iann Dior - Mood,7
147,UK,Italy,24kGoldn & Iann Dior - Mood,-47
148,UK,Japan,24kGoldn & Iann Dior - Mood,-14
149,UK,Netherlands,24kGoldn & Iann Dior - Mood,14
150,UK,New Zealand,24kGoldn & Iann Dior - Mood,-9
151,UK,Norway,24kGoldn & Iann Dior - Mood,32
152,UK,Portugal,24kGoldn & Iann Dior - Mood,-22
153,UK,Spain,24kGoldn & Iann Dior - Mood,-42
154,UK,Sweden,24kGoldn & Iann Dior - Mood,26
155,UK,Switzerland,24kGoldn & Iann Dior - Mood,-1
156,UK,UK,24kGoldn & Iann Dior - Mood,0
157,UK,USA,24kGoldn & Iann Dior - Mood,-28
158,Portugal,Australia,24kGoldn & Iann Dior - Mood,13
159,Portugal,Austria,24kGoldn & Iann Dior - Mood,37
160,Portugal,Belgium,24kGoldn & Iann Dior - Mood,29
161,Portugal,Bulgaria,24kGoldn & Iann Dior - Mood,-49
162,Portugal,Canada,24kGoldn & Iann Dior - Mood,22
163,Portugal,China,24kGoldn & Iann Dior - Mood,8
164,Portugal,Denmark,24kGoldn & Iann Dior - Mood,37
165,Portugal,Finland,24kGoldn & Iann Dior - Mood,48
166,Portugal,France,24kGoldn & Iann Dior - Mood,-27
167,Portugal,Germany,24kGoldn & Iann Dior - Mood,29
168,Portugal,Greece,24kGoldn & Iann Dior - Mood,-120
169,Portugal,Ireland,24kGoldn & Iann Dior - Mood,29
170,Portugal,Italy,24kGoldn & Iann Dior - Mood,-25
171,Portugal,Japan,24kGoldn & Iann Dior - Mood,8
172,Portugal,Netherlands,24kGoldn & Iann Dior - Mood,36
173,Portugal,New Zealand,24kGoldn & Iann Dior - Mood,13
174,Portugal,Norway,24kGoldn & Iann Dior - Mood,54
175,Portugal,Portugal,24kGoldn & Iann Dior - Mood,0
176,Portugal,Spain,24kGoldn & Iann Dior - Mood,-20
177,Portugal,Sweden,24kGoldn & Iann Dior - Mood,48
178,Portugal,Switzerland,24kGoldn & Iann Dior - Mood,21
179,Portugal,UK,24kGoldn & Iann Dior - Mood,22
180,Portugal,USA,24kGoldn & Iann Dior - Mood,-6
181,UK,Australia,2Pac - Ghetto Gospel,-55
182,UK,Austria,2Pac - Ghetto Gospel,15
183,UK,Ireland,2Pac - Ghetto Gospel,-6
184,UK,New Zealand,2Pac - Ghetto Gospel,-65
185,UK,Switzerland,2Pac - Ghetto Gospel,8
186,UK,UK,2Pac - Ghetto Gospel,0
187,UK,Australia,2Pac - Pac's Life,57
188,UK,Ireland,2Pac - Pac's Life,-6
189,UK,New Zealand,2Pac - Pac's Life,32
190,UK,UK,2Pac - Pac's Life,0
191,USA,Austria,2Pac - Runnin,-14
192,USA,France,2Pac - Runnin,-15
193,USA,Ireland,2Pac - Runnin,0
194,USA,Netherlands,2Pac - Runnin,-14
195,USA,Switzerland,2Pac - Runnin,-7
196,USA,UK,2Pac - Runnin,-1
197,USA,USA,2Pac - Runnin,0
198,UK,Austria,2Pac - Runnin,-13
199,UK,France,2Pac - Runnin,-14
200,UK,Ireland,2Pac - Runnin,1
201,UK,Netherlands,2Pac - Runnin,-13
202,UK,Switzerland,2Pac - Runnin,-6
203,UK,UK,2Pac - Runnin,0
204,UK,USA,2Pac - Runnin,1
205,USA,Australia,2Pac - Thugz Mansion,-56
206,USA,Ireland,2Pac - Thugz Mansion,-28
207,USA,New Zealand,2Pac - Thugz Mansion,-43
208,USA,UK,2Pac - Thugz Mansion,-29
209,USA,USA,2Pac - Thugz Mansion,0
210,UK,Australia,2Pac - Thugz Mansion,-27
211,UK,Ireland,2Pac - Thugz Mansion,1
212,UK,New Zealand,2Pac - Thugz Mansion,-14
213,UK,UK,2Pac - Thugz Mansion,0
214,UK,USA,2Pac - Thugz Mansion,29
215,USA,USA,2gether - The Hardedt Part Of Breaking Up (is Getting Back Your Stuff),0
216,USA,USA,3 Doors Down - Be Like That,0
217,Portugal,Portugal,3 Doors Down - Duck And Run,0
218,USA,Australia,3 Doors Down - Here Without You,-70
219,USA,Austria,3 Doors Down - Here Without You,-161
220,USA,Denmark,3 Doors Down - Here Without You,-126
221,USA,Netherlands,3 Doors Down - Here Without You,-168
222,USA,New Zealand,3 Doors Down - Here Without You,-86
223,USA,Norway,3 Doors Down - Here Without You,-126
224,USA,Sweden,3 Doors Down - Here Without You,-175
225,USA,UK,3 Doors Down - Here Without You,-169
226,USA,USA,3 Doors Down - Here Without You,0
227,UK,Australia,3 Doors Down - Here Without You,99
228,UK,Austria,3 Doors Down - Here Without You,8
229,UK,Denmark,3 Doors Down - Here Without You,43
230,UK,Netherlands,3 Doors Down - Here Without You,1
231,UK,New Zealand,3 Doors Down - Here Without You,83
232,UK,Norway,3 Doors Down - Here Without You,43
233,UK,Sweden,3 Doors Down - Here Without You,-6
234,UK,UK,3 Doors Down - Here Without You,0
235,UK,USA,3 Doors Down - Here Without You,169
236,USA,Australia,3 Doors Down - It's Not My Time,-98
237,USA,Canada,3 Doors Down - It's Not My Time,22
238,USA,Finland,3 Doors Down - It's Not My Time,-29
239,USA,Germany,3 Doors Down - It's Not My Time,14
240,USA,New Zealand,3 Doors Down - It's Not My Time,10
241,USA,USA,3 Doors Down - It's Not My Time,0
242,USA,USA,3 Doors Down - Kryptonite,0
243,USA,Netherlands,3 Doors Down - Let Me Go,-7
244,USA,Sweden,3 Doors Down - Let Me Go,-35
245,USA,USA,3 Doors Down - Let Me Go,0
246,Portugal,Portugal,3 Doors Down - Loser,0
247,USA,Canada,3 Doors Down - When I'm Gone,-49
248,USA,UK,3 Doors Down - When I'm Gone,-176
249,USA,USA,3 Doors Down - When I'm Gone,0
250,UK,Canada,3 Doors Down - When I'm Gone,127
251,UK,UK,3 Doors Down - When I'm Gone,0
252,UK,USA,3 Doors Down - When I'm Gone,176
253,UK,France,3 Of A Kind - Baby Cakes,-140
254,UK,Ireland,3 Of A Kind - Baby Cakes,-55
255,UK,UK,3 Of A Kind - Baby Cakes,0
256,Portugal,Portugal,30 Seconds To Mars - A Beautiful Lie,0
257,Portugal,Portugal,30 Seconds To Mars - City Of Angels,0
258,Portugal,Australia,30 Seconds To Mars - Closer To The Edge,328
259,Portugal,Austria,30 Seconds To Mars - Closer To The Edge,326
260,Portugal,Germany,30 Seconds To Mars - Closer To The Edge,330
261,Portugal,New Zealand,30 Seconds To Mars - Closer To The Edge,370
262,Portugal,Portugal,30 Seconds To Mars - Closer To The Edge,0
263,Portugal,Portugal,30 Seconds To Mars - Do Or Die,0
264,UK,Australia,30 Seconds To Mars - From Yesterday,281
265,UK,Netherlands,30 Seconds To Mars - From Yesterday,209
266,UK,New Zealand,30 Seconds To Mars - From Yesterday,249
267,UK,UK,30 Seconds To Mars - From Yesterday,0
268,UK,Austria,30 Seconds To Mars - Kings And Queens,-590
269,UK,Germany,30 Seconds To Mars - Kings And Queens,43
270,UK,Netherlands,30 Seconds To Mars - Kings And Queens,1
271,UK,New Zealand,30 Seconds To Mars - Kings And Queens,33
272,UK,Taiwan,30 Seconds To Mars - Kings And Queens,29
273,UK,UK,30 Seconds To Mars - Kings And Queens,0
274,UK,Australia,30 Seconds To Mars - The Kill,246
275,UK,Austria,30 Seconds To Mars - The Kill,-1480
276,UK,Brazil,30 Seconds To Mars - The Kill,-98
277,UK,Chile,30 Seconds To Mars - The Kill,124
278,UK,Germany,30 Seconds To Mars - The Kill,-1483
279,UK,New Zealand,30 Seconds To Mars - The Kill,270
280,UK,UK,30 Seconds To Mars - The Kill,0
281,Portugal,Greece,30 Seconds To Mars - Up In The Air,161
282,Portugal,Portugal,30 Seconds To Mars - Up In The Air,0
283,Portugal,Taiwan,30 Seconds To Mars - Up In The Air,161
284,Portugal,Portugal,30 Seconds To Mars - Where The Streets Have No Name,0
285,USA,Australia,3LW - No More (Baby I'ma Do Right),-86
286,USA,USA,3LW - No More (Baby I'ma Do Right),0
287,USA,Australia,3oh3 - Don't Trust Me,42
288,USA,Canada,3oh3 - Don't Trust Me,-13
289,USA,Finland,3oh3 - Don't Trust Me,48
290,USA,Ireland,3oh3 - Don't Trust Me,-70
291,USA,New Zealand,3oh3 - Don't Trust Me,38
292,USA,UK,3oh3 - Don't Trust Me,-351
293,USA,USA,3oh3 - Don't Trust Me,0
294,UK,Australia,3oh3 - Don't Trust Me,393
295,UK,Canada,3oh3 - Don't Trust Me,338
296,UK,Finland,3oh3 - Don't Trust Me,399
297,UK,Ireland,3oh3 - Don't Trust Me,281
298,UK,New Zealand,3oh3 - Don't Trust Me,389
299,UK,UK,3oh3 - Don't Trust Me,0
300,UK,USA,3oh3 - Don't Trust Me,351
301,USA,Australia,3oh3 - My First Kiss,-44
302,USA,Austria,3oh3 - My First Kiss,-95
303,USA,Canada,3oh3 - My First Kiss,23
304,USA,Germany,3oh3 - My First Kiss,-98
305,USA,Ireland,3oh3 - My First Kiss,-47
306,USA,New Zealand,3oh3 - My First Kiss,12
307,USA,UK,3oh3 - My First Kiss,-43
308,USA,USA,3oh3 - My First Kiss,0
309,UK,Australia,3oh3 - My First Kiss,-1
310,UK,Austria,3oh3 - My First Kiss,-52
311,UK,Canada,3oh3 - My First Kiss,66
312,UK,Germany,3oh3 - My First Kiss,-55
313,UK,Ireland,3oh3 - My First Kiss,-4
314,UK,New Zealand,3oh3 - My First Kiss,55
315,UK,UK,3oh3 - My First Kiss,0
316,UK,USA,3oh3 - My First Kiss,43
317,UK,Australia,3oh3 - Starstrukk,6
318,UK,Canada,3oh3 - Starstrukk,1
319,UK,Ireland,3oh3 - Starstrukk,23
320,UK,New Zealand,3oh3 - Starstrukk,47
321,UK,UK,3oh3 - Starstrukk,0
322,USA,Canada,3oh3 - Touchin On My,16
323,USA,USA,3oh3 - Touchin On My,0
324,UK,UK,3rd Edge - Know You Wanna,0
325,USA,USA,3rd Party - Can U Feel It,0
326,UK,Austria,3rd Wish - Obsesion,78
327,UK,France,3rd Wish - Obsesion,21
328,UK,Switzerland,3rd Wish - Obsesion,64
329,UK,UK,3rd Wish - Obsesion,0
330,Portugal,Portugal,4 Taste - 4 Taste,0
331,Portugal,Portugal,4 Taste - Sempre Que Eu Te Vejo (Sinto Um Desejo),0
332,UK,UK,4-4-2 - Come On England,0
333,UK,Australia,411 - Dumb,-48
334,UK,Austria,411 - Dumb,-69
335,UK,Ireland,411 - Dumb,-13
336,UK,UK,411 - Dumb,0
337,UK,Australia,411 - On My Knees,-41
338,UK,Austria,411 - On My Knees,-97
339,UK,France,411 - On My Knees,-119
340,UK,Ireland,411 - On My Knees,-20
341,UK,Italy,411 - On My Knees,-120
342,UK,Netherlands,411 - On My Knees,-69
343,UK,UK,411 - On My Knees,0
344,UK,UK,411 - Teardrops,0
345,USA,Australia,5 Seconds Of Summer - Amnesia,21
346,USA,Austria,5 Seconds Of Summer - Amnesia,16
347,USA,Denmark,5 Seconds Of Summer - Amnesia,16
348,USA,Ireland,5 Seconds Of Summer - Amnesia,-54
349,USA,Netherlands,5 Seconds Of Summer - Amnesia,22
350,USA,New Zealand,5 Seconds Of Summer - Amnesia,21
351,USA,Spain,5 Seconds Of Summer - Amnesia,-56
352,USA,Taiwan,5 Seconds Of Summer - Amnesia,-35
353,USA,USA,5 Seconds Of Summer - Amnesia,0
354,UK,Australia,5 Seconds Of Summer - Don't Stop,0
355,UK,Austria,5 Seconds Of Summer - Don't Stop,-5
356,UK,Belgium,5 Seconds Of Summer - Don't Stop,2
357,UK,Canada,5 Seconds Of Summer - Don't Stop,4
358,UK,Denmark,5 Seconds Of Summer - Don't Stop,2
359,UK,Ireland,5 Seconds Of Summer - Don't Stop,2
360,UK,Netherlands,5 Seconds Of Summer - Don't Stop,1
361,UK,New Zealand,5 Seconds Of Summer - Don't Stop,0
362,UK,Spain,5 Seconds Of Summer - Don't Stop,0
363,UK,UK,5 Seconds Of Summer - Don't Stop,0
364,UK,Australia,5 Seconds Of Summer - Easier,-2
365,UK,New Zealand,5 Seconds Of Summer - Easier,-2
366,UK,UK,5 Seconds Of Summer - Easier,0
367,USA,Australia,5 Seconds Of Summer - Everything I Didn't Say,35
368,USA,Denmark,5 Seconds Of Summer - Everything I Didn't Say,30
369,USA,Netherlands,5 Seconds Of Summer - Everything I Didn't Say,36
370,USA,New Zealand,5 Seconds Of Summer - Everything I Didn't Say,35
371,USA,USA,5 Seconds Of Summer - Everything I Didn't Say,0
372,USA,Australia,5 Seconds Of Summer - Good Girls,35
373,USA,Denmark,5 Seconds Of Summer - Good Girls,30
374,USA,Ireland,5 Seconds Of Summer - Good Girls,-5
375,USA,New Zealand,5 Seconds Of Summer - Good Girls,35
376,USA,Spain,5 Seconds Of Summer - Good Girls,-153
377,USA,UK,5 Seconds Of Summer - Good Girls,35
378,USA,USA,5 Seconds Of Summer - Good Girls,0
379,UK,Australia,5 Seconds Of Summer - Good Girls,0
380,UK,Denmark,5 Seconds Of Summer - Good Girls,-5
381,UK,Ireland,5 Seconds Of Summer - Good Girls,-40
382,UK,New Zealand,5 Seconds Of Summer - Good Girls,0
383,UK,Spain,5 Seconds Of Summer - Good Girls,-188
384,UK,UK,5 Seconds Of Summer - Good Girls,0
385,UK,USA,5 Seconds Of Summer - Good Girls,-35
386,USA,Australia,5 Seconds Of Summer - Kiss Me Kiss Me,7
387,USA,Denmark,5 Seconds Of Summer - Kiss Me Kiss Me,2
388,USA,Netherlands,5 Seconds Of Summer - Kiss Me Kiss Me,8
389,USA,New Zealand,5 Seconds Of Summer - Kiss Me Kiss Me,7
390,USA,USA,5 Seconds Of Summer - Kiss Me Kiss Me,0
391,USA,Australia,5 Seconds Of Summer - She Looks So Perfect,63
392,USA,Austria,5 Seconds Of Summer - She Looks So Perfect,58
393,USA,Belgium,5 Seconds Of Summer - She Looks So Perfect,65
394,USA,Canada,5 Seconds Of Summer - She Looks So Perfect,4
395,USA,Denmark,5 Seconds Of Summer - She Looks So Perfect,65
396,USA,France,5 Seconds Of Summer - She Looks So Perfect,63
397,USA,Germany,5 Seconds Of Summer - She Looks So Perfect,56
398,USA,Ireland,5 Seconds Of Summer - She Looks So Perfect,65
399,USA,Netherlands,5 Seconds Of Summer - She Looks So Perfect,64
400,USA,New Zealand,5 Seconds Of Summer - She Looks So Perfect,63
401,USA,Portugal,5 Seconds Of Summer - She Looks So Perfect,-14
402,USA,Spain,5 Seconds Of Summer - She Looks So Perfect,63
403,USA,Taiwan,5 Seconds Of Summer - She Looks So Perfect,-70
404,USA,UK,5 Seconds Of Summer - She Looks So Perfect,63
405,USA,USA,5 Seconds Of Summer - She Looks So Perfect,0
406,UK,Australia,5 Seconds Of Summer - She Looks So Perfect,0
407,UK,Austria,5 Seconds Of Summer - She Looks So Perfect,-5
408,UK,Belgium,5 Seconds Of Summer - She Looks So Perfect,2
409,UK,Canada,5 Seconds Of Summer - She Looks So Perfect,-59
410,UK,Denmark,5 Seconds Of Summer - She Looks So Perfect,2
411,UK,France,5 Seconds Of Summer - She Looks So Perfect,0
412,UK,Germany,5 Seconds Of Summer - She Looks So Perfect,-7
413,UK,Ireland,5 Seconds Of Summer - She Looks So Perfect,2
414,UK,Netherlands,5 Seconds Of Summer - She Looks So Perfect,1
415,UK,New Zealand,5 Seconds Of Summer - She Looks So Perfect,0
416,UK,Portugal,5 Seconds Of Summer - She Looks So Perfect,-77
417,UK,Spain,5 Seconds Of Summer - She Looks So Perfect,0
418,UK,Taiwan,5 Seconds Of Summer - She Looks So Perfect,-133
419,UK,UK,5 Seconds Of Summer - She Looks So Perfect,0
420,UK,USA,5 Seconds Of Summer - She Looks So Perfect,-63
421,Portugal,Australia,5 Seconds Of Summer - She Looks So Perfect,77
422,Portugal,Austria,5 Seconds Of Summer - She Looks So Perfect,72
423,Portugal,Belgium,5 Seconds Of Summer - She Looks So Perfect,79
424,Portugal,Canada,5 Seconds Of Summer - She Looks So Perfect,18
425,Portugal,Denmark,5 Seconds Of Summer - She Looks So Perfect,79
426,Portugal,France,5 Seconds Of Summer - She Looks So Perfect,77
427,Portugal,Germany,5 Seconds Of Summer - She Looks So Perfect,70
428,Portugal,Ireland,5 Seconds Of Summer - She Looks So Perfect,79
429,Portugal,Netherlands,5 Seconds Of Summer - She Looks So Perfect,78
430,Portugal,New Zealand,5 Seconds Of Summer - She Looks So Perfect,77
431,Portugal,Portugal,5 Seconds Of Summer - She Looks So Perfect,0
432,Portugal,Spain,5 Seconds Of Summer - She Looks So Perfect,77
433,Portugal,Taiwan,5 Seconds Of Summer - She Looks So Perfect,-56
434,Portugal,UK,5 Seconds Of Summer - She Looks So Perfect,77
435,Portugal,USA,5 Seconds Of Summer - She Looks So Perfect,14
436,USA,Australia,5 Seconds Of Summer - She's Kinda Hot,36
437,USA,Austria,5 Seconds Of Summer - She's Kinda Hot,29
438,USA,Canada,5 Seconds Of Summer - She's Kinda Hot,26
439,USA,Ireland,5 Seconds Of Summer - She's Kinda Hot,-6
440,USA,New Zealand,5 Seconds Of Summer - She's Kinda Hot,36
441,USA,Spain,5 Seconds Of Summer - She's Kinda Hot,36
442,USA,Taiwan,5 Seconds Of Summer - She's Kinda Hot,-75
443,USA,UK,5 Seconds Of Summer - She's Kinda Hot,14
444,USA,USA,5 Seconds Of Summer - She's Kinda Hot,0
445,UK,Australia,5 Seconds Of Summer - She's Kinda Hot,22
446,UK,Austria,5 Seconds Of Summer - She's Kinda Hot,15
447,UK,Canada,5 Seconds Of Summer - She's Kinda Hot,12
448,UK,Ireland,5 Seconds Of Summer - She's Kinda Hot,-20
449,UK,New Zealand,5 Seconds Of Summer - She's Kinda Hot,22
450,UK,Spain,5 Seconds Of Summer - She's Kinda Hot,22
451,UK,Taiwan,5 Seconds Of Summer - She's Kinda Hot,-89
452,UK,UK,5 Seconds Of Summer - She's Kinda Hot,0
453,UK,USA,5 Seconds Of Summer - She's Kinda Hot,-14
454,USA,Australia,5 Seconds Of Summer - Youngblood,166
455,USA,Austria,5 Seconds Of Summer - Youngblood,15
456,USA,Belgium,5 Seconds Of Summer - Youngblood,-49
457,USA,Canada,5 Seconds Of Summer - Youngblood,0
458,USA,Denmark,5 Seconds Of Summer - Youngblood,116
459,USA,Finland,5 Seconds Of Summer - Youngblood,145
460,USA,Ireland,5 Seconds Of Summer - Youngblood,126
461,USA,Netherlands,5 Seconds Of Summer - Youngblood,140
462,USA,New Zealand,5 Seconds Of Summer - Youngblood,152
463,USA,Norway,5 Seconds Of Summer - Youngblood,153
464,USA,Portugal,5 Seconds Of Summer - Youngblood,139
465,USA,Sweden,5 Seconds Of Summer - Youngblood,140
466,USA,Taiwan,5 Seconds Of Summer - Youngblood,143
467,USA,UK,5 Seconds Of Summer - Youngblood,105
468,USA,USA,5 Seconds Of Summer - Youngblood,0
469,UK,Australia,5 Seconds Of Summer - Youngblood,61
470,UK,Austria,5 Seconds Of Summer - Youngblood,-90
471,UK,Belgium,5 Seconds Of Summer - Youngblood,-154
472,UK,Canada,5 Seconds Of Summer - Youngblood,-105
473,UK,Denmark,5 Seconds Of Summer - Youngblood,11
474,UK,Finland,5 Seconds Of Summer - Youngblood,40
